country,date,restrictions_index
Brazil,2020-01-01,0.0
Brazil,2020-01-02,0.0
Brazil,2020-01-03,0.0
Brazil,2020-01-04,0.0
Brazil,2020-01-05,0.0
Brazil,2020-01-06,0.0
Brazil,2020-01-07,0.0
Brazil,2020-01-08,0.0
Brazil,2020-01-09,0.0
Brazil,2020-01-10,0.0
Brazil,2020-01-11,0.0
Brazil,2020-01-12,0.0
Brazil,2020-01-13,0.0
Brazil,2020-01-14,0.0
Brazil,2020-01-15,0.0
Brazil,2020-01-16,0.0
Brazil,2020-01-17,0.0
Brazil,2020-01-18,0.0
Brazil,2020-01-19,0.0
Brazil,2020-01-20,0.0
Brazil,2020-01-21,0.0
Brazil,2020-01-22,0.0
Brazil,2020-01-23,0.0
Brazil,2020-01-24,0.0
Brazil,2020-01-25,0.0
Brazil,2020-01-26,0.0
Brazil,2020-01-27,0.0
Brazil,2020-01-28,0.0
Brazil,2020-01-29,5.56
Brazil,2020-01-30,5.56
Brazil,2020-01-31,5.56
Brazil,2020-02-01,5.56
Brazil,2020-02-02,5.56
Brazil,2020-02-03,5.56
Brazil,2020-02-04,5.56
Brazil,2020-02-05,5.56
Brazil,2020-02-06,5.56
Brazil,2020-02-07,5.56
Brazil,2020-02-08,5.56
Brazil,2020-02-09,5.56
Brazil,2020-02-10,5.56
Brazil,2020-02-11,5.56
Brazil,2020-02-12,5.56
Brazil,2020-02-13,5.56
Brazil,2020-02-14,5.56
Brazil,2020-02-15,5.56
Brazil,2020-02-16,5.56
Brazil,2020-02-17,5.56
Brazil,2020-02-18,5.56
Brazil,2020-02-19,5.56
Brazil,2020-02-20,5.56
Brazil,2020-02-21,5.56
Brazil,2020-02-22,5.56
Brazil,2020-02-23,5.56
Brazil,2020-02-24,5.56
Brazil,2020-02-25,5.56
Brazil,2020-02-26,5.56
Brazil,2020-02-27,5.56
Brazil,2020-02-28,5.56
Brazil,2020-02-29,5.56
Brazil,2020-03-01,5.56
Brazil,2020-03-02,11.11
Brazil,2020-03-03,11.11
Brazil,2020-03-04,11.11
Brazil,2020-03-05,11.11
Brazil,2020-03-06,11.11
Brazil,2020-03-07,11.11
Brazil,2020-03-08,11.11
Brazil,2020-03-09,11.11
Brazil,2020-03-10,11.11
Brazil,2020-03-11,11.11
Brazil,2020-03-12,28.7
Brazil,2020-03-13,37.96
Brazil,2020-03-14,42.13
Brazil,2020-03-15,42.13
Brazil,2020-03-16,42.13
Brazil,2020-03-17,57.87
Brazil,2020-03-18,60.65
Brazil,2020-03-19,66.2
Brazil,2020-03-20,66.2
Brazil,2020-03-21,71.76
Brazil,2020-03-22,71.76
Brazil,2020-03-23,71.76
Brazil,2020-03-24,71.76
Brazil,2020-03-25,71.76
Brazil,2020-03-26,71.76
Brazil,2020-03-27,74.54
Brazil,2020-03-28,74.54
Brazil,2020-03-29,74.54
Brazil,2020-03-30,74.54
Brazil,2020-03-31,74.54
